person,gender,pref,wild,model,score
1,Female,none,False,d,2
1,Female,none,False,r,3
1,Female,none,False,a,1
2,Female,none,True,d,1
2,Female,none,True,r,3
2,Female,none,True,a,2
3,Female,none,False,r,3
3,Female,none,False,a,2
3,Female,none,False,d,1
4,Female,none,True,r,3
4,Female,none,True,d,2
4,Female,none,True,a,1
5,Female,none,False,r,3
5,Female,none,False,a,1
5,Female,none,False,d,2
6,Female,none,True,a,1
6,Female,none,True,r,3
6,Female,none,True,d,2
7,Female,none,False,d,3
7,Female,none,False,r,2
7,Female,none,False,a,1
8,Female,none,True,a,1
8,Female,none,True,r,3
8,Female,none,True,d,2
9,Female,none,False,a,2
9,Female,none,False,d,1
9,Female,none,False,r,3
10,Female,none,True,d,3
10,Female,none,True,a,1
10,Female,none,True,r,2
11,Female,none,False,d,1
11,Female,none,False,r,3
11,Female,none,False,a,2
12,Female,none,True,d,2
12,Female,none,True,r,3
12,Female,none,True,a,1
13,Female,none,False,a,2
13,Female,none,False,d,1
13,Female,none,False,r,3
14,Female,none,True,d,3
14,Female,none,True,r,2
14,Female,none,True,a,1
15,Female,none,False,d,2
15,Female,none,False,a,1
15,Female,none,False,r,3
16,Female,none,True,r,2
16,Female,none,True,d,1
16,Female,none,True,a,3
17,Female,none,False,d,2
17,Female,none,False,a,1
17,Female,none,False,r,3
18,Female,none,True,d,3
18,Female,none,True,a,1
18,Female,none,True,r,2
19,Female,none,False,d,1
19,Female,none,False,r,3
19,Female,none,False,a,2
20,Female,none,True,a,1
20,Female,none,True,d,2
20,Female,none,True,r,3
21,Female,none,False,r,3
21,Female,none,False,d,2
21,Female,none,False,a,1
22,Female,none,True,d,2
22,Female,none,True,a,1
22,Female,none,True,r,3
23,Female,none,False,r,3
23,Female,none,False,d,2
23,Female,none,False,a,1
24,Female,none,True,r,3
24,Female,none,True,a,2
24,Female,none,True,d,1
25,Female,none,False,d,1
25,Female,none,False,a,2
25,Female,none,False,r,3
26,Female,none,True,d,1
26,Female,none,True,a,2
26,Female,none,True,r,3
27,Female,none,False,d,2
27,Female,none,False,a,1
27,Female,none,False,r,3
28,Female,none,True,r,3
28,Female,none,True,d,2
28,Female,none,True,a,1
29,Female,none,False,r,3
29,Female,none,False,d,2
29,Female,none,False,a,1
30,Female,none,True,a,2
30,Female,none,True,d,1
30,Female,none,True,r,3
31,Male,none,False,d,2
31,Male,none,False,r,3
31,Male,none,False,a,1
32,Male,none,True,d,1
32,Male,none,True,r,3
32,Male,none,True,a,2
33,Male,none,False,r,3
33,Male,none,False,a,1
33,Male,none,False,d,2
34,Male,none,True,r,3
34,Male,none,True,d,2
34,Male,none,True,a,1
35,Male,none,False,r,3
35,Male,none,False,a,2
35,Male,none,False,d,1
36,Male,none,True,a,1
36,Male,none,True,r,2
36,Male,none,True,d,3
37,Male,none,False,d,2
37,Male,none,False,r,3
37,Male,none,False,a,1
38,Male,none,True,a,1
38,Male,none,True,r,3
38,Male,none,True,d,2
39,Male,none,False,a,3
39,Male,none,False,d,2
39,Male,none,False,r,1
40,Male,none,True,d,2
40,Male,none,True,a,1
40,Male,none,True,r,3
41,Male,none,False,d,1
41,Male,none,False,r,3
41,Male,none,False,a,2
42,Male,none,True,d,2
42,Male,none,True,r,1
42,Male,none,True,a,3
43,Male,none,False,a,1
43,Male,none,False,d,2
43,Male,none,False,r,3
44,Male,none,True,d,3
44,Male,none,True,r,2
44,Male,none,True,a,1
45,Male,none,False,d,1
45,Male,none,False,a,2
45,Male,none,False,r,3
46,Male,none,True,r,3
46,Male,none,True,d,1
46,Male,none,True,a,2
47,Male,none,False,d,2
47,Male,none,False,a,1
47,Male,none,False,r,3
48,Male,none,True,d,2
48,Male,none,True,a,3
48,Male,none,True,r,1
49,Male,none,False,d,1
49,Male,none,False,r,3
49,Male,none,False,a,2
50,Male,none,True,a,1
50,Male,none,True,d,2
50,Male,none,True,r,3
51,Male,none,False,r,3
51,Male,none,False,d,2
51,Male,none,False,a,1
52,Male,none,True,d,1
52,Male,none,True,a,2
52,Male,none,True,r,3
53,Male,none,False,r,3
53,Male,none,False,d,2
53,Male,none,False,a,1
54,Male,none,True,r,3
54,Male,none,True,a,2
54,Male,none,True,d,1
55,Male,none,False,d,1
55,Male,none,False,a,2
55,Male,none,False,r,3
56,Male,none,True,d,3
56,Male,none,True,a,1
56,Male,none,True,r,2
57,Male,none,False,d,1
57,Male,none,False,a,2
57,Male,none,False,r,3
58,Male,none,True,r,3
58,Male,none,True,d,2
58,Male,none,True,a,1
59,Male,none,False,r,3
59,Male,none,False,d,2
59,Male,none,False,a,1
60,Male,none,True,a,1
60,Male,none,True,d,2
60,Male,none,True,r,3
61,Male,shape,False,d,2
61,Male,shape,False,r,3
61,Male,shape,False,a,1
62,Male,shape,True,d,1
62,Male,shape,True,r,3
62,Male,shape,True,a,2
63,Male,shape,False,r,3
63,Male,shape,False,a,1
63,Male,shape,False,d,2
64,Male,shape,True,r,3
64,Male,shape,True,d,2
64,Male,shape,True,a,1
65,Male,shape,False,r,3
65,Male,shape,False,a,1
65,Male,shape,False,d,2
66,Male,shape,True,a,1
66,Male,shape,True,r,3
66,Male,shape,True,d,2
67,Male,shape,False,d,2
67,Male,shape,False,r,3
67,Male,shape,False,a,1
68,Male,shape,True,a,2
68,Male,shape,True,r,3
68,Male,shape,True,d,1
69,Male,shape,False,a,1
69,Male,shape,False,d,2
69,Male,shape,False,r,3
70,Male,shape,True,d,2
70,Male,shape,True,a,1
70,Male,shape,True,r,3
71,Male,shape,False,d,1
71,Male,shape,False,r,3
71,Male,shape,False,a,2
72,Male,shape,True,d,3
72,Male,shape,True,r,2
72,Male,shape,True,a,1
73,Male,shape,False,a,1
73,Male,shape,False,d,2
73,Male,shape,False,r,3
74,Male,shape,True,d,3
74,Male,shape,True,r,2
74,Male,shape,True,a,1
75,Male,shape,False,d,1
75,Male,shape,False,a,2
75,Male,shape,False,r,3
76,Male,shape,True,r,2
76,Male,shape,True,d,1
76,Male,shape,True,a,3
77,Male,shape,False,d,1
77,Male,shape,False,a,2
77,Male,shape,False,r,3
78,Male,shape,True,d,3
78,Male,shape,True,a,1
78,Male,shape,True,r,2
79,Male,shape,False,d,2
79,Male,shape,False,r,3
79,Male,shape,False,a,1
80,Male,shape,True,a,3
80,Male,shape,True,d,2
80,Male,shape,True,r,1
81,Male,shape,False,r,3
81,Male,shape,False,d,2
81,Male,shape,False,a,1
82,Male,shape,True,d,2
82,Male,shape,True,a,1
82,Male,shape,True,r,3
83,Male,shape,False,r,3
83,Male,shape,False,d,2
83,Male,shape,False,a,1
84,Male,shape,True,r,3
84,Male,shape,True,a,2
84,Male,shape,True,d,1
85,Male,shape,False,d,1
85,Male,shape,False,a,2
85,Male,shape,False,r,3
86,Male,shape,True,d,1
86,Male,shape,True,a,2
86,Male,shape,True,r,3
87,Male,shape,False,d,2
87,Male,shape,False,a,1
87,Male,shape,False,r,3
88,Male,shape,True,r,3
88,Male,shape,True,d,2
88,Male,shape,True,a,1
89,Male,shape,False,r,3
89,Male,shape,False,d,2
89,Male,shape,False,a,1
90,Male,shape,True,a,2
90,Male,shape,True,d,1
90,Male,shape,True,r,3
91,Male,shape,False,d,3
91,Male,shape,False,r,2
91,Male,shape,False,a,1
92,Male,shape,True,d,1
92,Male,shape,True,r,3
92,Male,shape,True,a,2
93,Male,shape,False,r,3
93,Male,shape,False,a,2
93,Male,shape,False,d,1
94,Male,shape,True,r,3
94,Male,shape,True,d,2
94,Male,shape,True,a,1
95,Male,shape,False,r,3
95,Male,shape,False,a,1
95,Male,shape,False,d,2
96,Male,shape,True,a,1
96,Male,shape,True,r,3
96,Male,shape,True,d,2
97,Male,shape,False,d,2
97,Male,shape,False,r,3
97,Male,shape,False,a,1
98,Male,shape,True,a,2
98,Male,shape,True,r,3
98,Male,shape,True,d,1
99,Male,shape,False,a,2
99,Male,shape,False,d,1
99,Male,shape,False,r,3
100,Male,shape,True,d,2
100,Male,shape,True,a,1
100,Male,shape,True,r,3
101,Male,shape,False,d,1
101,Male,shape,False,r,3
101,Male,shape,False,a,2
102,Male,shape,True,d,2
102,Male,shape,True,r,1
102,Male,shape,True,a,3
103,Male,shape,False,a,1
