person,gender,wild,model,score
1,Female,False,d,1
1,Female,False,a,2
1,Female,False,r,3
2,Female,True,a,1
2,Female,True,d,3
2,Female,True,r,2
3,Female,False,d,1
3,Female,False,a,2
3,Female,False,r,3
4,Female,True,r,1
4,Female,True,d,2
4,Female,True,a,3
5,Female,False,r,3
5,Female,False,a,1
5,Female,False,d,2
6,Female,True,r,1
6,Female,True,a,3
6,Female,True,d,2
7,Female,False,a,1
7,Female,False,r,3
7,Female,False,d,2
8,Female,True,a,3
8,Female,True,d,2
8,Female,True,r,1
9,Female,False,r,3
9,Female,False,a,2
9,Female,False,d,1
10,Female,True,a,3
10,Female,True,d,2
10,Female,True,r,1
11,Female,False,r,3
11,Female,False,d,1
11,Female,False,a,2
12,Female,True,a,2
12,Female,True,r,1
12,Female,True,d,3
13,Female,False,r,3
13,Female,False,d,1
13,Female,False,a,2
14,Female,True,r,2
14,Female,True,a,3
14,Female,True,d,1
15,Female,False,r,3
15,Female,False,a,1
15,Female,False,d,2
16,Female,True,a,3
16,Female,True,d,2
16,Female,True,r,1
17,Female,False,d,1
17,Female,False,r,3
17,Female,False,a,2
18,Female,True,a,3
18,Female,True,r,2
18,Female,True,d,1
19,Female,False,d,1
19,Female,False,r,3
19,Female,False,a,2
20,Female,True,d,3
20,Female,True,r,2
20,Female,True,a,1
21,Female,False,a,1
21,Female,False,r,3
21,Female,False,d,2
22,Female,True,r,1
22,Female,True,a,3
22,Female,True,d,2
23,Female,False,a,1
23,Female,False,r,3
23,Female,False,d,2
24,Female,True,r,2
24,Female,True,d,1
24,Female,True,a,3
25,Female,False,a,3
25,Female,False,r,2
25,Female,False,d,1
26,Female,True,r,2
26,Female,True,a,3
26,Female,True,d,1
27,Female,False,d,2
27,Female,False,r,3
27,Female,False,a,1
28,Female,True,d,1
28,Female,True,r,2
28,Female,True,a,3
29,Female,False,r,3
29,Female,False,d,2
29,Female,False,a,1
30,Female,True,r,2
30,Female,True,a,1
30,Female,True,d,3
31,Female,False,d,2
31,Female,False,a,1
31,Female,False,r,3
32,Female,True,a,3
32,Female,True,d,1
32,Female,True,r,2
33,Female,False,d,1
33,Female,False,a,2
33,Female,False,r,3
34,Female,True,r,2
34,Female,True,d,1
34,Female,True,a,3
35,Female,False,r,1
35,Female,False,a,2
35,Female,False,d,3
36,Female,True,r,1
36,Female,True,a,3
36,Female,True,d,2
37,Female,False,a,1
37,Female,False,r,3
37,Female,False,d,2
38,Female,True,a,2
38,Female,True,d,3
38,Female,True,r,1
39,Female,False,r,3
39,Female,False,a,1
39,Female,False,d,2
40,Female,True,a,1
40,Female,True,d,3
40,Female,True,r,2
41,Female,False,r,2
41,Female,False,d,1
41,Female,False,a,3
42,Female,True,a,2
42,Female,True,r,1
42,Female,True,d,3
43,Female,False,r,3
43,Female,False,d,2
43,Female,False,a,1
44,Female,True,r,3
44,Female,True,a,2
44,Female,True,d,1
45,Female,False,r,3
45,Female,False,a,1
45,Female,False,d,2
46,Female,True,a,3
46,Female,True,d,2
46,Female,True,r,1
47,Female,False,d,2
47,Female,False,r,3
47,Female,False,a,1
48,Female,True,a,3
48,Female,True,r,2
48,Female,True,d,1
49,Female,False,d,1
49,Female,False,r,3
49,Female,False,a,2
50,Female,True,d,3
50,Female,True,r,2
50,Female,True,a,1
51,Female,False,a,1
51,Female,False,r,3
51,Female,False,d,2
52,Female,True,r,1
52,Female,True,a,3
52,Female,True,d,2
53,Female,False,a,1
53,Female,False,r,3
53,Female,False,d,2
54,Female,True,r,2
54,Female,True,d,1
54,Female,True,a,3
55,Female,False,a,3
55,Female,False,r,2
55,Female,False,d,1
56,Female,True,r,2
56,Female,True,a,3
56,Female,True,d,1
57,Female,False,d,1
57,Female,False,r,3
57,Female,False,a,2
58,Female,True,d,1
58,Female,True,r,2
58,Female,True,a,3
59,Female,False,r,3
59,Female,False,d,1
59,Female,False,a,2
60,Female,True,r,2
60,Female,True,a,1
60,Female,True,d,3
61,Male,False,d,1
61,Male,False,a,2
61,Male,False,r,3
62,Male,True,a,2
62,Male,True,d,3
62,Male,True,r,1
63,Male,False,d,1
63,Male,False,a,2
63,Male,False,r,3
64,Male,True,r,1
64,Male,True,d,2
64,Male,True,a,3
65,Male,False,r,3
65,Male,False,a,2
65,Male,False,d,1
66,Male,True,r,1
66,Male,True,a,3
66,Male,True,d,2
67,Male,False,a,2
